# messageDelay  cumulativeProbability
0.0100 0.3094
0.0100 0.3104
0.0100 0.3113
0.0100 0.3123
0.0100 0.3133
0.0100 0.3143
0.0100 0.3152
0.0100 0.3162
0.0100 0.3172
0.0100 0.3181
0.0100 0.3191
0.0100 0.3201
0.0100 0.3210
0.0100 0.3220
0.0100 0.3230
0.0100 0.3240
0.0100 0.3249
0.0100 0.3259
0.0100 0.3269
0.0100 0.3278
0.0100 0.3288
0.0100 0.3298
0.0100 0.3307
0.0100 0.3317
0.0100 0.3327
0.0100 0.3337
0.0100 0.3346
0.0100 0.3356
0.0100 0.3366
0.0100 0.3375
0.0100 0.3385
0.0100 0.3395
0.0100 0.3404
0.0100 0.3414
0.0100 0.3424
0.0100 0.3434
0.0100 0.3443
0.0100 0.3453
0.0100 0.3463
0.0100 0.3472
0.0100 0.3482
0.0100 0.3492
0.0100 0.3501
0.0100 0.3511
0.0100 0.3521
0.0100 0.3531
0.0100 0.3540
0.0100 0.3550
0.0100 0.3560
0.0100 0.3569
0.0100 0.3579
0.0100 0.3589
0.0100 0.3598
0.0100 0.3608
0.0100 0.3618
0.0100 0.3628
0.0100 0.3637
0.0100 0.3647
0.0100 0.3657
0.0100 0.3666
0.0100 0.3676
0.0100 0.3686
0.0100 0.3695
0.0100 0.3705
0.0100 0.3715
0.0100 0.3725
0.0100 0.3734
0.0100 0.3744
0.0100 0.3754
0.0100 0.3763
0.0100 0.3773
0.0100 0.3783
0.0100 0.3792
0.0100 0.3802
0.0100 0.3812
0.0100 0.3822
0.0100 0.3831
0.0100 0.3841
0.0100 0.3851
0.0100 0.3860
0.0100 0.3870
0.0100 0.3880
0.0100 0.3889
0.0100 0.3899
0.0100 0.3909
0.0100 0.3919
0.0100 0.3928
0.0100 0.3938
0.0100 0.3948
0.0100 0.3957
0.0100 0.3967
0.0100 0.3977
0.0100 0.3986
0.0100 0.3996
0.0100 0.4006
0.0100 0.4016
0.0100 0.4025
0.0100 0.4035
0.0100 0.4045
0.0100 0.4054
0.0100 0.4064
0.0100 0.4074
0.0100 0.4083
0.0100 0.4093
0.0100 0.4103
0.0100 0.4113
0.0100 0.4122
0.0100 0.4132
0.0100 0.4142
0.0100 0.4151
0.0100 0.4161
0.0100 0.4171
0.0100 0.4180
0.0100 0.4190
0.0100 0.4200
0.0100 0.4210
0.0100 0.4219
0.0100 0.4229
0.0100 0.4239
0.0100 0.4248
0.0100 0.4258
0.0100 0.4268
0.0100 0.4277
0.0100 0.4287
0.0100 0.4297
0.0100 0.4306
0.0100 0.4316
